Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Oberstetten;9249;02;7848;Uzwil;3408;SG;100%;9.089779246764833;47.448526299239845;de;01.07.2008
Wittenbach;9300;00;5310;Wittenbach;3204;SG;99.38%;9.386718137;47.46063857;de;01.07.2008
Wittenbach;9300;00;5310;St. Gallen;3203;SG;0.21%;9.398275836277586;47.45135651792443;de;01.07.2008
Wittenbach;9300;00;5310;Berg (SG);3211;SG;0.17%;9.390508752680823;47.475365324197085;de;01.07.2008
Wittenbach;9300;00;5310;Gaiserwald;3442;SG;0.12%;9.362020780104338;47.451209557290525;de;01.07.2008
Wittenbach;9300;00;5310;Waldkirch;3444;SG;0.12%;9.357489054429712;47.45500948849385;de;01.07.2008
Bernhardzell;9304;00;5311;Waldkirch;3444;SG;100%;9.340410956647208;47.46892152124391;de;01.07.2008
Berg SG;9305;00;5312;Berg (SG);3211;SG;99.55%;9.408065546612784;47.48685351572158;de;01.07.2008
Berg SG;9305;00;5312;Steinach;3217;SG;0.45%;9.420020575626646;47.49245232606085;de;01.07.2008
Freidorf TG;9306;00;5313;Roggwil (TG);4431;TG;92.52%;9.394562168131388;47.485993970896864;de;01.07.2008
Freidorf TG;9306;00;5313;Berg (SG);3211;SG;7.48%;9.382306735207438;47.48295269491344;de;01.07.2008
Lömmenschwil;9308;00;5315;Häggenschwil;3201;SG;89.32%;9.350816503383323;47.49706226723461;de;01.07.2008
Lömmenschwil;9308;00;5315;Wittenbach;3204;SG;5.47%;9.360860791565768;47.492154664314135;de;01.07.2008
Lömmenschwil;9308;00;5315;Muolen;3202;SG;4.69%;9.330120724094572;47.50601200782028;de;01.07.2008
Lömmenschwil;9308;00;5315;Roggwil (TG);4431;TG;0.52%;9.370606183301707;47.48893351334226;de;01.07.2008
Häggenschwil;9312;00;5316;Häggenschwil;3201;SG;100%;9.342629036;47.4934457;de;01.07.2008
Muolen;9313;00;5318;Muolen;3202;SG;96.97%;9.326182331329726;47.51886024131984;de;01.07.2008
Muolen;9313;00;5318;Zihlschlacht-Sitterdorf;4511;TG;3.03%;9.306627694;47.51075678113268;de;01.07.2008
Steinebrunn;9314;00;5319;Egnach;4411;TG;100%;9.346262565797744;47.53366316;de;01.07.2008
Neukirch (Egnach);9315;00;5320;Egnach;4411;TG;96.95%;9.371665924586795;47.528662695881955;de;01.07.2008
Neukirch (Egnach);9315;00;5320;Roggwil (TG);4431;TG;3.05%;9.389225536173672;47.52503050692118;de;01.07.2008
Winden;9315;02;5314;Egnach;4411;TG;99.26%;9.365497277403247;47.51003176760601;de;01.07.2008
Winden;9315;02;5314;Häggenschwil;3201;SG;0.74%;9.357757867753248;47.50878683646823;de;01.07.2008
Arbon;9320;00;5321;Arbon;4401;TG;100%;9.425079695370409;47.513453966259156;de;01.07.2008
Frasnacht;9320;02;5322;Arbon;4401;TG;87.93%;9.405784931828425;47.52672961457439;de;01.07.2008
Frasnacht;9320;02;5322;Roggwil (TG);4431;TG;12.07%;9.405493519426914;47.52065284529507;de;01.07.2008
Stachen;9320;03;5323;Arbon;4401;TG;97.56%;9.410001060216134;47.50790887158663;de;01.07.2008
Stachen;9320;03;5323;Roggwil (TG);4431;TG;2.44%;9.407278324307185;47.513623115071894;de;01.07.2008
Egnach;9322;00;5324;Egnach;4411;TG;99.43%;9.380225619434503;47.54407446358245;de;01.07.2008
Egnach;9322;00;5324;Salmsach;4441;TG;0.57%;9.333479271840318;47.544722648596135;de;01.07.2008
Steinach;9323;00;5325;Steinach;3217;SG;100%;9.437963367981302;47.50046574478918;de;01.07.2008
Roggwil TG;9325;00;5326;Roggwil (TG);4431;TG;100%;9.398899070394158;47.50318524095492;de;01.07.2008
Horn;9326;00;5328;Horn;4421;TG;99.47%;9.461030002656875;47.49329031;de;01.07.2008
Horn;9326;00;5328;Tübach;3218;SG;0.53%;9.452238796743393;47.491446319703144;de;01.07.2008
Tübach;9327;00;5329;Tübach;3218;SG;99.01%;9.452305480816543;47.48514734831279;de;01.07.2008
Tübach;9327;00;5329;Mörschwil;3214;SG;0.99%;9.443269304179678;47.483801790702074;de;01.07.2008
Rorschach;9400;00;5330;Rorschach;3215;SG;99.81%;9.492728391341256;47.47573661650377;de;01.07.2008
Rorschach;9400;00;5330;Goldach;3213;SG;0.19%;9.483094670131727;47.47436879710295;de;01.07.2008
Mörschwil;9402;00;5333;Mörschwil;3214;SG;100%;9.424105076;47.46675937818354;de;01.07.2008
Goldach;9403;00;5334;Goldach;3213;SG;100%;9.470093782335708;47.476199309742405;de;01.07.2008
Rorschacherberg;9404;00;5331;Rorschacherberg;3216;SG;98.92%;9.504464327;47.47108306633398;de;01.07.2008
Rorschacherberg;9404;00;5331;Untereggen;3219;SG;0.75%;9.478530077;47.456734253037006;de;01.07.2008
Rorschacherberg;9404;00;5331;Thal;3237;SG;0.33%;9.531813283356836;47.47279566600154;de;01.07.2008
Wienacht-Tobel;9405;00;5335;Lutzenberg;3033;AR;96.45%;9.536410363;47.465541628881404;de;01.07.2008
Wienacht-Tobel;9405;00;5335;Rorschacherberg;3216;SG;2.84%;9.530121603732324;47.465547562306746;de;01.07.2008
Wienacht-Tobel;9405;00;5335;Eggersriet;3212;SG;0.71%;9.52821066;47.464187543389535;de;01.07.2008
Heiden;9410;00;5336;Heiden;3032;AR;98.71%;9.532654229;47.44259482065015;de;01.07.2008
Heiden;9410;00;5336;Wolfhalden;3038;AR;1.29%;9.552700479671625;47.438765990434426;de;01.07.2008
Reute AR;9411;00;5337;Reute (AR);3035;AR;97.54%;9.574204817696636;47.412853986529164;de;01.07.2008
Reute AR;9411;00;5337;Berneck;3233;SG;2.47%;9.594457212654033;47.42035068489135;de;01.07.2008
Schachen b. Reute;9411;01;5339;Reute (AR);3035;AR;100%;9.560124508028391;47.42507094193718;de;01.07.2008
Oberegg;9413;00;5338;Oberegg;3111;AI;99.22%;9.552536093;47.42194395718891;de;01.07.2008
Oberegg;9413;00;5338;Heiden;3032;AR;0.78%;9.544559658930767;47.43177072869499;de;01.07.2008
Staad SG;9422;00;5340;Thal;3237;SG;98.50%;9.541116627659388;47.47920386843023;de;01.07.2008
Staad SG;9422;00;5340;Rorschacherberg;3216;SG;1.50%;9.529273229911745;47.47974240974663;de;01.07.2008
Altenrhein;9423;00;5341;Thal;3237;SG;100%;9.555296398;47.49068661866833;de;01.07.2008
Rheineck;9424;00;5342;Rheineck;3235;SG;93.61%;9.584932445018676;47.46720654617822;de;01.07.2008
Rheineck;9424;00;5342;St. Margrethen;3236;SG;6.40%;9.596209997117343;47.461301362629875;de;01.07.2008
Thal;9425;00;5343;Thal;3237;SG;98.00%;9.567633235966039;47.46860596483395;de;01.07.2008
Thal;9425;00;5343;Wolfhalden;3038;AR;1.69%;9.560929225636121;47.46320485529214;de;01.07.2008
Thal;9425;00;5343;Rheineck;3235;SG;0.31%;9.575861089925255;47.46764445634281;de;01.07.2008
Lutzenberg;9426;00;5344;Lutzenberg;3033;AR;99.03%;9.575639432028504;47.46047769;de;01.07.2008
Lutzenberg;9426;00;5344;Rheineck;3235;SG;0.97%;9.577163371;47.46274383635415;de;01.07.2008
Wolfhalden;9427;00;5345;Wolfhalden;3038;AR;98.82%;9.556933505617698;47.45315617699134;de;01.07.2008
Wolfhalden;9427;00;5345;Heiden;3032;AR;0.51%;9.546571018581087;47.46179397635411;de;01.07.2008
Wolfhalden;9427;00;5345;Oberegg;3111;AI;0.25%;9.566493223328925;47.43812602291826;de;01.07.2008
Wolfhalden;9427;00;5345;Walzenhausen;3037;AR;0.25%;9.566038653;47.44002383636764;de;01.07.2008
Wolfhalden;9427;00;5345;Lutzenberg;3033;AR;0.17%;9.563520983346777;47.456245705404456;de;01.07.2008
Walzenhausen;9428;00;5346;Walzenhausen;3037;AR;99.15%;9.604029095;47.44610249662314;de;01.07.2008
Walzenhausen;9428;00;5346;Oberegg;3111;AI;0.28%;9.583721281657898;47.43389932;de;01.07.2008
Walzenhausen;9428;00;5346;St. Margrethen;3236;SG;0.28%;9.631386448508707;47.44243768439667;de;01.07.2008
Walzenhausen;9428;00;5346;Wolfhalden;3038;AR;0.28%;9.572799851999145;47.44459583408004;de;01.07.2008
St. Margrethen SG;9430;00;5349;St. Margrethen;3236;SG;100%;9.636039987;47.45106795361295;de;01.07.2008
Au SG;9434;00;5351;Au (SG);3231;SG;99.89%;9.634775674170005;47.43233204;de;01.07.2008
Au SG;9434;00;5351;Berneck;3233;SG;0.11%;9.628221256236351;47.43320320021832;de;01.07.2008
Heerbrugg;9435;00;5352;Au (SG);3231;SG;66.74%;9.628800406526173;47.41409031070914;de;01.07.2008
Heerbrugg;9435;00;5352;Balgach;3232;SG;19.80%;9.617389950198781;47.408322644820636;de;01.07.2008
Heerbrugg;9435;00;5352;Berneck;3233;SG;7.86%;9.624560687296052;47.415754184917596;de;01.07.2008
Heerbrugg;9435;00;5352;Widnau;3238;SG;5.59%;9.624784062625343;47.40542413573119;de;01.07.2008
Balgach;9436;00;5353;Balgach;3232;SG;95.61%;9.606056859182889;47.405044768581405;de;01.07.2008
Balgach;9436;00;5353;Oberriet (SG);3254;SG;2.22%;9.621025260087423;47.377050106823354;de;01.07.2008
Balgach;9436;00;5353;Diepoldsau;3234;SG;2.17%;9.624119939394859;47.38274110774719;de;01.07.2008
Marbach SG;9437;00;5354;Marbach (SG);3253;SG;99.38%;9.568307525;47.392340627860754;de;01.07.2008
Marbach SG;9437;00;5354;Rebstein;3255;SG;0.36%;9.570166225511196;47.39905446;de;01.07.2008
Marbach SG;9437;00;5354;Reute (AR);3035;AR;0.27%;9.557013598321454;47.396876119941346;de;01.07.2008
Berneck;9442;00;5356;Berneck;3233;SG;98.86%;9.614311351192985;47.42542208086639;de;01.07.2008
Berneck;9442;00;5356;Oberegg;3111;AI;1.14%;9.600230217624325;47.41462837217455;de;01.07.2008
Büriswilen;9442;02;8993;Oberegg;3111;AI;97.03%;9.605941168834287;47.43410900890217;de;01.01.2009
Büriswilen;9442;02;8993;Berneck;3233;SG;2.97%;9.614437857042393;47.43467816880073;de;01.01.2009
Widnau;9443;00;5357;Widnau;3238;SG;95.26%;9.638441466;47.40489147145759;de;01.07.2008
Widnau;9443;00;5357;Diepoldsau;3234;SG;4.74%;9.632508058;47.396627469487086;de;01.07.2008
